Blk,spp,time,composition,Plot,ANVI.action,SEPA.action,TRFL.action,PAAN.action,SCIN.action,SOPI.action,ANVI.outcome,SEPA.outcome,TRFL.outcome,PAAN.outcome,SCIN.outcome,SOPI.outcome,PlantS,S5,percov,Div,Res,divXres,n.plants
2,SCIN,1,SCINP,2SCINPOO 2012,1,1,1,1,0,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA
2,SCIN,1,SCINP,2SCINPRO 2012,1,1,1,1,0,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA
2,SEPA,1,SEPAM,2SEPAMOO 2012,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2,SEPA,1,SEPAP,2SEPAPOO 2012,1,0,1,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
2,SEPA,1,SEPAP,2SEPAPRO 2012,1,0,1,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
2,SOPI,1,SOPIM,2SOPIMOO 2012,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
2,SOPI,1,SOPIM,2SOPIMRO 2012,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
2,SOPI,1,SOPIP,2SOPIPOO 2012,1,1,1,1,1,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA
2,SOPI,1,SOPIP,2SOPIPRO 2012,1,1,1,1,1,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA
2,TRFL,1,TRFLM,2TRFLMOO 2012,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
2,TRFL,1,TRFLM,2TRFLMRO 2012,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
2,TRFL,1,TRFLP,2TRFLPOO 2012,1,1,0,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA
2,TRFL,1,TRFLP,2TRFLPRO 2012,1,1,0,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA
3,ANVI,1,ANVIM,3ANVIMOO 2012,1,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
3,ANVI,1,ANVIM,3ANVIMRO 2012,1,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
3,ANVI,1,ANVIP,3ANVIPOO 2012,0,1,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
3,ANVI,1,ANVIP,3ANVIPRO 2012,0,1,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
3,PAAN,1,PAANM,3PAANMOO 2012,0,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
3,PAAN,1,PAANM,3PAANMRO 2012,0,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
3,PAAN,1,PAANP,3PAANPOO 2012,1,1,1,0,1,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA
3,PAAN,1,PAANP,3PAANPRO 2012,1,1,1,0,1,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA
3,SCIN,1,SCINM,3SCINMOO 2012,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
3,SCIN,1,SCINM,3SCINMRO 2012,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
3,SCIN,1,SCINP,3SCINPOO 2012,1,1,1,1,0,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA
3,SCIN,1,SCINP,3SCINPRO 2012,1,1,1,1,0,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA
3,SEPA,1,SEPAM,3SEPAMOO 2012,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
3,SEPA,1,SEPAM,3SEPAMRO 2012,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
3,SEPA,1,SEPAP,3SEPAPOO 2012,1,0,1,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
3,SEPA,1,SEPAP,3SEPAPRO 2012,1,0,1,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
3,SOPI,1,SOPIM,3SOPIMOO 2012,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
3,SOPI,1,SOPIM,3SOPIMRO 2012,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
3,SOPI,1,SOPIP,3SOPIPOO 2012,1,1,1,1,1,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA
3,SOPI,1,SOPIP,3SOPIPRO 2012,1,1,1,1,1,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA
3,TRFL,1,TRFLM,3TRFLMOO 2012,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
3,TRFL,1,TRFLM,3TRFLMRO 2012,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
3,TRFL,1,TRFLP,3TRFLPOO 2012,1,1,0,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA
3,TRFL,1,TRFLP,3TRFLPRO 2012,1,1,0,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA
4,ANVI,1,ANVIM,4ANVIMOO 2012,1,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
4,ANVI,1,ANVIM,4ANVIMRO 2012,1,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
